Date,Price,Open,High,Low,Vol.,Change %,Type
01/08/2019,74.55,74.55,74.65,68.15,,0.31%,Iron Ore Fines 62%
01/07/2019,74.32,74.32,74.4,67.85,,1.88%,Iron Ore Fines 62%
01/04/2019,72.95,72.95,73.2,67.7,,0.94%,Iron Ore Fines 62%
01/03/2019,72.27,72.27,72.3,66.65,,1.75%,Iron Ore Fines 62%
01/02/2019,71.03,71.03,71.25,69.35,,2.64%,Iron Ore Fines 62%
12/28/2018,69.2,69.2,69.2,69.2,,-0.12%,Iron Ore Fines 62%
12/27/2018,69.28,69.28,69.28,69.28,,-0.30%,Iron Ore Fines 62%
12/26/2018,69.49,69.49,69.49,69.49,,0.42%,Iron Ore Fines 62%
12/24/2018,69.2,69.2,69.1,69.1,,-0.29%,Iron Ore Fines 62%
12/21/2018,69.4,69.4,69.5,69.25,,0.26%,Iron Ore Fines 62%
12/20/2018,69.22,69.22,69.25,68.6,,0.52%,Iron Ore Fines 62%
12/19/2018,68.86,68.86,69.0,68.6,,0.26%,Iron Ore Fines 62%
12/18/2018,68.68,68.68,69.05,68.75,,-0.41%,Iron Ore Fines 62%
12/17/2018,68.96,68.96,69.1,68.75,,0.50%,Iron Ore Fines 62%
12/14/2018,68.62,68.62,68.75,67.7,,1.67%,Iron Ore Fines 62%
12/13/2018,67.49,67.49,67.65,66.95,,1.09%,Iron Ore Fines 62%
12/12/2018,66.76,66.76,66.95,66.75,,0.20%,Iron Ore Fines 62%
12/11/2018,66.63,66.63,66.7,66.3,,0.20%,Iron Ore Fines 62%
12/10/2018,66.5,66.5,68.5,66.0,,-0.18%,Iron Ore Fines 62%
12/07/2018,66.62,66.62,66.85,65.9,,1.09%,Iron Ore Fines 62%
12/06/2018,65.9,65.9,67.2,65.7,,-2.49%,Iron Ore Fines 62%
12/05/2018,67.58,67.58,67.75,65.7,,1.14%,Iron Ore Fines 62%
12/04/2018,66.82,66.82,66.85,65.5,,1.98%,Iron Ore Fines 62%
12/03/2018,65.52,65.52,66.85,64.1,,-9.35%,Iron Ore Fines 62%
11/30/2018,72.28,72.28,72.28,72.28,,0.03%,Iron Ore Fines 62%
11/29/2018,72.26,72.26,72.3,70.0,,-0.06%,Iron Ore Fines 62%
11/28/2018,72.3,72.3,72.3,72.3,,0.19%,Iron Ore Fines 62%
11/27/2018,72.16,72.16,72.3,72.1,,-0.12%,Iron Ore Fines 62%
11/26/2018,72.25,72.25,72.9,72.25,,-1.46%,Iron Ore Fines 62%
11/23/2018,73.32,73.32,74.0,73.3,,-1.01%,Iron Ore Fines 62%
11/22/2018,74.07,74.07,74.45,74.0,,-0.39%,Iron Ore Fines 62%
11/21/2018,74.36,74.36,74.3,74.15,,-0.07%,Iron Ore Fines 62%
11/20/2018,74.41,74.41,75.5,74.3,,-1.17%,Iron Ore Fines 62%
11/19/2018,75.29,75.29,75.4,75.4,,0.60%,Iron Ore Fines 62%
11/16/2018,74.84,74.84,75.0,74.7,,0.19%,Iron Ore Fines 62%
11/15/2018,74.7,74.7,74.8,74.25,,-0.39%,Iron Ore Fines 62%
11/14/2018,74.99,74.99,75.15,74.15,,0.59%,Iron Ore Fines 62%
11/13/2018,74.55,74.55,75.1,74.5,,-0.71%,Iron Ore Fines 62%
11/12/2018,75.08,75.08,76.0,74.9,,-0.74%,Iron Ore Fines 62%
11/09/2018,75.64,75.64,75.85,75.1,,0.72%,Iron Ore Fines 62%
11/08/2018,75.1,75.1,75.3,74.35,,1.40%,Iron Ore Fines 62%
11/07/2018,74.06,74.06,74.25,73.65,,-0.05%,Iron Ore Fines 62%
11/06/2018,74.1,74.1,74.5,73.95,,-0.23%,Iron Ore Fines 62%
11/05/2018,74.27,74.27,74.4,70.6,,2.08%,Iron Ore Fines 62%
11/02/2018,72.76,72.76,73.15,70.6,,-0.18%,Iron Ore Fines 62%
11/01/2018,72.89,72.89,74.15,72.6,,0.11%,Iron Ore Fines 62%
10/31/2018,72.81,72.81,73.0,73.0,,-0.12%,Iron Ore Fines 62%
10/30/2018,72.9,72.9,72.9,72.9,,0.04%,Iron Ore Fines 62%
10/29/2018,72.87,72.87,72.95,72.95,,0.01%,Iron Ore Fines 62%
10/26/2018,72.86,72.86,72.86,72.86,,0.10%,Iron Ore Fines 62%
10/25/2018,72.79,72.79,72.95,72.95,,0.00%,Iron Ore Fines 62%
