Date,Price,Open,High,Low,Vol.,Change %,Type
08/30/2022,365.75,362.5,367.55,355.0,0.08K,-2.48%,Rotterdam Coal
08/29/2022,375.05,375.0,375.0,375.0,0.02K,1.69%,Rotterdam Coal
08/26/2022,368.8,369.0,369.0,369.0,0.02K,0.22%,Rotterdam Coal
08/25/2022,368.0,372.0,372.0,370.0,0.02K,-0.88%,Rotterdam Coal
08/24/2022,371.25,371.25,371.25,371.25,,0.34%,Rotterdam Coal
08/23/2022,370.0,370.0,370.0,370.0,,-2.05%,Rotterdam Coal
08/22/2022,377.75,382.0,382.0,382.0,0.00K,1.75%,Rotterdam Coal
08/19/2022,371.25,365.0,376.0,365.0,0.01K,1.71%,Rotterdam Coal
08/18/2022,365.0,361.0,365.0,361.0,0.01K,1.46%,Rotterdam Coal
08/17/2022,359.75,360.0,361.0,358.0,0.01K,0.47%,Rotterdam Coal
08/16/2022,358.05,360.0,360.0,358.0,0.16K,1.17%,Rotterdam Coal
08/15/2022,353.9,352.0,354.0,352.0,0.01K,0.97%,Rotterdam Coal
08/12/2022,350.5,348.0,350.25,348.0,0.00K,1.89%,Rotterdam Coal
08/11/2022,344.0,344.0,344.0,344.0,0.08K,0.58%,Rotterdam Coal
08/10/2022,342.0,342.0,342.0,342.0,0.10K,4.03%,Rotterdam Coal
08/09/2022,328.75,319.0,324.0,319.0,0.10K,2.73%,Rotterdam Coal
08/08/2022,320.0,325.0,325.0,325.0,0.01K,2.02%,Rotterdam Coal
08/05/2022,313.65,320.0,320.0,313.0,0.08K,-4.81%,Rotterdam Coal
08/04/2022,329.5,345.0,345.0,326.9,0.07K,-7.18%,Rotterdam Coal
08/03/2022,355.0,365.0,365.0,355.0,0.12K,-3.02%,Rotterdam Coal
08/02/2022,366.05,367.0,367.0,364.0,0.10K,0.15%,Rotterdam Coal
08/01/2022,365.5,368.4,368.4,365.0,0.10K,-5.80%,Rotterdam Coal
07/29/2022,388.0,388.0,388.0,388.0,,-0.58%,Rotterdam Coal
07/28/2022,390.25,390.25,390.25,390.25,0.00K,0.84%,Rotterdam Coal
07/27/2022,387.0,387.0,387.0,387.0,0.02K,-0.64%,Rotterdam Coal
07/26/2022,389.5,389.5,389.5,389.5,0.01K,0.56%,Rotterdam Coal
07/25/2022,387.35,386.0,386.0,386.0,0.01K,2.94%,Rotterdam Coal
07/22/2022,376.3,376.0,376.0,376.0,0.05K,0.07%,Rotterdam Coal
07/21/2022,376.05,377.0,377.0,377.0,0.03K,-0.24%,Rotterdam Coal
07/20/2022,376.95,375.0,380.0,375.0,0.02K,0.52%,Rotterdam Coal
07/19/2022,375.0,370.0,375.0,368.0,0.10K,0.27%,Rotterdam Coal
07/18/2022,374.0,374.0,374.0,374.0,0.01K,-2.87%,Rotterdam Coal
07/15/2022,385.05,385.05,385.05,385.05,0.00K,-1.92%,Rotterdam Coal
07/14/2022,392.6,393.45,393.45,393.45,0.00K,-0.61%,Rotterdam Coal
07/13/2022,395.0,395.0,395.0,395.0,0.01K,-0.63%,Rotterdam Coal
