統計期,總計,汽車,大客車,大客車 /自用,大客車 /營業,大客車 /營業 /遊覽車,大客車 /營業 /營業（不含遊覽車）,大貨車,大貨車 /自用,大貨車 /營業,小客車,小客車 /自用,小客車 /營業,小客車 /營業 /租賃,小客車 /營業 /計程車,小客車 /營業 /其他營業小客車,小貨車,小貨車 /自用,小貨車 /營業,小貨車 /營業 /租賃,小貨車 /營業 /營業（不含租賃）,特種車,警備車,救護車,消防車,郵車,其他,機車,機車重型,大型重型,大型重型550cc以上,大型重型未滿550cc,普通重型,機車輕型,小型輕型,普通輕型
106年 3月,119065,38039,141,3,138,76,62,631,263,368,33561,29957,3604,3142,462,,3530,2756,774,638,136,176,,8,4,,164,81026,79986,1505,834,671,78481,1040,,1040
106年 4月,98897,34023,238,2,236,88,148,529,217,312,30038,26059,3979,3420,559,,3095,2332,763,591,172,123,,10,2,,111,64874,63831,960,555,405,62871,1043,,1043
106年 5月,106522,35346,247,2,245,78,167,588,256,332,31297,27528,3769,3300,469,,2986,2260,726,547,179,228,5,10,4,,209,71176,70195,1427,729,698,68768,981,,981
106年 6月,129837,40096,177,11,166,92,74,595,289,306,35516,30904,4612,4133,479,,3350,2570,780,591,189,458,19,12,9,,418,89741,88555,2098,990,1108,86457,1186,,1186
106年 7月,131635,41388,177,8,169,83,86,476,250,226,37081,32822,4259,3871,388,,3232,2404,828,557,271,422,15,22,19,,366,90247,89386,1709,810,899,87677,861,,861
106年 8月,140473,36572,156,12,144,67,77,531,268,263,32478,28620,3858,3393,465,,2874,2168,706,518,188,533,11,21,7,,494,103901,102597,2551,1221,1330,100046,1304,,1304
106年 9月,128210,31364,149,4,145,59,86,511,237,274,27528,24292,3236,2860,376,,2892,2240,652,483,169,284,18,22,11,,233,96846,95372,2133,981,1152,93239,1474,,1474
106年 10月,119365,35511,100,8,92,35,57,467,241,226,31752,28240,3512,3051,461,,2878,2211,667,542,125,314,6,18,28,8,254,83854,82087,1615,900,715,80472,1767,,1767
106年 11月,129760,40431,129,8,121,37,84,555,276,279,36378,32516,3862,3383,479,,2980,2305,675,543,132,389,1,27,28,67,266,89329,87563,1590,904,686,85973,1766,,1766
106年 12月,155179,42215,289,8,281,37,244,843,449,394,37698,34094,3604,3150,454,,2996,2260,736,572,164,389,13,24,28,31,293,112964,110710,1296,755,541,109414,2254,,2254
107年 1月,116803,47937,102,5,97,61,36,342,120,222,43801,38752,5049,4490,559,,3619,2820,799,549,250,73,2,5,2,12,52,68866,68299,1454,754,700,66845,567,,567
107年 2月,75035,26964,128,2,126,63,63,371,212,159,24380,21603,2777,2455,322,,2016,1510,506,454,52,69,,4,1,,64,48071,47516,822,465,357,46694,555,,555
107年 3月,120094,39260,240,6,234,96,138,724,308,416,34508,30154,4354,3810,544,,3624,2763,861,611,250,164,3,18,1,,142,80834,80277,1596,907,689,78681,557,,557
107年 4月,93358,34457,164,8,156,85,71,585,277,308,30559,26723,3836,3429,407,,3011,2348,663,537,126,138,,11,7,,120,58901,58470,1240,660,580,57230,431,,431
107年 5月,106498,35688,170,5,165,69,96,826,315,511,31346,27345,4001,3587,414,,3039,2399,640,489,151,307,5,15,,,287,70810,70206,1593,802,791,68613,604,,604
107年 6月,106814,37887,150,11,139,61,78,733,313,420,33541,28809,4732,4337,395,,3092,2346,746,614,132,371,17,15,8,,331,68927,68347,1700,732,968,66647,580,,580
107年 7月,123099,43047,92,12,80,38,42,879,385,494,38120,33723,4397,3934,463,,3449,2705,744,584,160,507,13,16,2,,476,80052,79181,1419,709,710,77762,871,,871
107年 8月,98082,26033,156,11,145,57,88,719,357,362,22084,19489,2595,2354,241,,2487,1957,530,449,81,587,17,21,7,182,360,72049,70967,1658,698,960,69309,1082,,1082
107年 9月,110798,30798,148,3,145,84,61,783,363,420,26184,23011,3173,2863,310,,3481,2527,954,728,226,202,8,17,10,13,154,80000,79315,1292,685,607,78023,685,,685
107年 10月,108322,35045,246,9,237,68,169,913,457,456,30215,26617,3598,3248,350,,3296,2548,748,547,201,375,11,26,7,67,264,73277,71827,1320,546,774,70507,1450,,1450
107年 11月,98419,36009,158,17,141,32,109,823,391,432,31526,27867,3659,3334,325,,3092,2239,853,627,226,410,3,26,30,44,307,62410,61078,1076,503,573,60002,1332,,1332
107年 12月,133189,41989,197,7,190,45,145,942,499,443,37819,34215,3604,3204,400,,2546,1910,636,469,167,485,1,31,27,36,390,91200,88919,1399,575,824,87520,2281,,2281
108年 1月,111248,44142,158,3,155,141,14,734,318,416,39270,34035,5235,4857,378,,3829,3013,816,579,237,151,,2,7,,142,67106,66978,1446,590,856,65532,128,,128
108年 2月,68923,19640,107,,107,57,50,498,223,275,16901,15041,1860,1682,178,,2026,1619,407,324,83,108,1,4,8,,95,49283,49171,1020,403,617,48151,112,,112
108年 3月,103582,32391,164,3,161,103,58,859,397,462,27850,24520,3330,3132,198,,3247,2608,639,586,53,271,18,11,6,,236,71191,70669,1429,591,838,69240,522,,522
108年 4月,104416,34680,156,5,151,102,49,928,384,544,29979,26891,3088,2819,269,,3434,2672,762,596,166,183,5,7,8,,163,69736,69440,1636,865,771,67804,296,,296
108年 5月,106804,37828,280,8,272,59,213,973,450,523,33114,28798,4316,4035,281,,3275,2535,740,595,145,186,7,12,1,,166,68976,68540,1637,634,1003,66903,436,,436
108年 6月,107146,38236,174,10,164,70,94,812,381,431,33622,29308,4314,3983,331,,3360,2571,789,594,195,268,14,5,1,,248,68910,68562,1338,668,670,67224,348,,348
108年 7月,134980,48427,110,21,89,70,19,1047,531,516,42742,37970,4772,3815,957,,4040,3074,966,748,218,488,10,13,14,181,270,86553,85818,1625,625,1000,84193,735,,735
108年 8月,91066,23958,173,9,164,127,37,564,281,283,20655,18133,2522,1793,729,,2284,1773,511,424,87,282,23,29,3,1,226,67108,66654,1179,563,616,65475,454,,454
108年 9月,117615,32851,143,6,137,101,36,849,421,428,28138,24607,3531,2469,1062,,3250,2575,675,555,120,471,25,14,24,77,331,84764,83801,1297,573,724,82504,963,,963
108年 10月,122571,41039,104,10,94,73,21,949,464,485,35660,30911,4749,3512,1237,,3841,3045,796,650,146,485,57,26,27,21,354,81532,76835,1400,519,881,75435,4697,,4697
108年 11月,120863,40698,63,8,55,24,31,817,394,423,35723,31797,3926,3079,847,,3599,2849,750,601,149,496,9,35,19,,433,80165,71507,1320,504,816,70187,8658,,8658
108年 12月,152888,45923,71,14,57,17,40,861,407,454,40333,36327,4006,3336,670,,4167,3189,978,790,188,491,17,52,29,53,340,106965,98079,1170,457,713,96909,8886,,8886
109年 1月,85629,39416,158,3,155,109,46,763,344,419,35022,30973,4049,3640,409,,3336,2689,647,446,201,137,3,9,4,,121,46213,45898,1184,386,798,44714,315,,315
109年 2月,93262,27349,97,7,90,57,33,815,309,506,22726,20082,2644,2010,634,,3512,2775,737,567,170,199,1,15,12,,171,65913,64891,1682,744,938,63209,1022,,1022
109年 3月,111772,37276,90,9,81,45,36,1002,422,580,31715,27077,4638,3318,1320,,4217,3249,968,667,301,252,15,13,10,,214,74496,73074,1717,486,1231,71357,1422,,1422
