統計期,汽車,大客車 /自用,大客車 /營業,大客車 /營業 /遊覽車,大貨車 /自用,大貨車 /營業,小客車 /自用,小客車 /營業,小客車 /營業 /租賃,小客車 /營業 /計程車,小客車 /營業 /其他營業小客車,小貨車 /自用,小貨車 /營業,小貨車 /營業 /租賃,警備車,救護車,消防車,郵車,其他
104年 6月底,7647372,1651,31761,16390,94243,70318,6283184,206912,119667,87245,,861577,36623,22911,1860,2116,2900,2734,51493
104年 7月底,7671139,1651,31821,16425,94357,70433,6304046,208425,121031,87394,,862321,36758,22935,1875,2121,2905,2722,51704
104年 8月底,7676814,1643,31845,16487,94489,70500,6309266,207990,120731,87259,,862679,36823,22943,1887,2141,2906,2719,51926
104年 9月底,7685664,1655,31975,16560,94555,70662,6316544,208115,120923,87192,,863450,37039,23044,1888,2145,2902,2714,52020
104年 10月底,7699304,1657,32087,16666,94650,70753,6328389,208042,120913,87129,,864736,37066,23067,1879,2149,2895,2930,52071
104年 11月底,7718118,1654,32189,16706,94811,70854,6345454,208318,121291,87027,,865832,37039,23060,1867,2175,2898,2938,52089
104年 12月底,7739144,1647,32243,16743,94866,70829,6365190,208556,121577,86979,,866616,37123,23075,1874,2175,2957,2905,52163
105年 1月底,7755790,1642,32272,16782,94883,70862,6379055,210613,123444,87169,,867266,37256,23064,1876,2161,2940,2818,52146
105年 2月底,7753495,1648,32313,16814,94815,70792,6376645,210591,123521,87070,,867253,37292,23113,1878,2151,2949,2810,52358
105年 3月底,7756035,1649,32444,16929,94865,70889,6378606,209938,122914,87024,,867997,37441,23255,1874,2150,2958,2800,52424
105年 4月底,7760026,1665,32540,16997,94912,70921,6380968,210472,123401,87071,,868607,37703,23357,1880,2140,2961,2785,52472
105年 5月底,7769948,1666,32606,17040,95037,71016,6388835,210852,123764,87088,,869658,37944,23506,1884,2135,2925,2781,52609
105年 6月底,7786122,1672,32684,17059,95144,71094,6401811,212529,125401,87128,,870440,38115,23663,1906,2132,2917,2776,52902
105年 7月底,7801302,1666,32663,17102,95260,71223,6414578,213699,126462,87237,,871015,38312,23843,1923,2141,2911,2770,53141
105年 8月底,7800339,1662,32735,17116,95281,71206,6413976,212980,125868,87112,,871250,38355,23835,1914,2140,2907,2761,53172
105年 9月底,7810600,1657,32829,17181,95434,71175,6422486,213357,126192,87165,,871959,38529,23952,1936,2146,2896,2949,53247
105年 10月底,7820374,1656,32883,17219,95537,71203,6431643,213200,126056,87144,,872462,38533,23963,1919,2151,2922,2964,53301
