變數名稱,變數內容,問題屬性,數值內容
調查年度,char(3),開放題,
半年註記,tinyint,開放題,請參閱A28~B29
,,,
,,,
地區別,char(2) ,開放題,請參閱A32~B35
,,,
商品編號,char(3),開放題,請參閱A38~B150
,,,
裝貨地點,char(4),開放題,請參閱A153~B510
,,,
卸貨地點,char(4),開放題,請參閱A153~B510
,,,
單程區間公里數,integer,開放題,
行車次數,integer,開放題,
載貨重量,numeric,開放題,
運費,integer,開放題,
商品來源別,integer,開放題,請參閱A513~B516
,,,
10呎貨櫃數,integer,開放題,
20呎貨櫃數,integer,開放題,
35呎貨櫃數,integer,開放題,
40呎貨櫃數,integer,開放題,
其他呎數貨櫃數,integer,開放題,
貨櫃當量,numeric,開放題,
平均每公升可行駛里程數,,開放題,請參閱A521~B530
載送低溫商品車輛數,,開放題,
靠行車車輛數,,開放題,
1310,屏東縣鹽埔鄉,,
1311,屏東縣高樹鄉,,
1312,屏東縣萬巒鄉,,
1313,屏東縣內埔鄉,,
1314,屏東縣竹田鄉,,
1315,屏東縣新埤鄉,,
1316,屏東縣枋寮鄉,,
1317,屏東縣新園鄉,,
1318,屏東縣崁頂鄉,,
1319,屏東縣林邊鄉,,
1320,屏東縣南州鄉,,
1321,屏東縣佳冬鄉,,
1322,屏東縣琉球鄉,,
1323,屏東縣車城鄉,,
1324,屏東縣滿州鄉,,
1325,屏東縣枋山鄉,,
1326,屏東縣三地門鄉,,
1327,屏東縣霧臺鄉,,
1328,屏東縣瑪家鄉,,
1329,屏東縣泰武鄉,,
1330,屏東縣來義鄉,,
1331,屏東縣春日鄉,,
1332,屏東縣獅子鄉,,
1333,屏東縣牡丹鄉,,
1401,臺東縣臺東市,,
1402,臺東縣成功鎮,,
1403,臺東縣關山鎮,,
1404,臺東縣卑南鄉,,
1405,臺東縣鹿野鄉,,
1406,臺東縣池上鄉,,
1407,臺東縣東河鄉,,
1408,臺東縣長濱鄉,,
1409,臺東縣太麻里鄉,,
1410,臺東縣大武鄉,,
1411,臺東縣綠島鄉,,
1412,臺東縣海端鄉,,
1413,臺東縣延平鄉,,
1414,臺東縣金峰鄉,,
1415,臺東縣達仁鄉,,
1416,臺東縣蘭嶼鄉,,
1501,花蓮縣花蓮市,,
1502,花蓮縣鳳林鎮,,
1503,花蓮縣玉里鎮,,
1504,花蓮縣新城鄉,,
1505,花蓮縣吉安鄉,,
1506,花蓮縣壽豐鄉,,
1507,花蓮縣光復鄉,,
1508,花蓮縣豐濱鄉,,
1509,花蓮縣瑞穗鄉,,
1510,花蓮縣富里鄉,,
