"REPORTINGPRODUCTGROUP","COUNTRY","REPORTINGCHANNEL","Period","Item","BRAND","REGION","BRIDGESTONE TYPE","DIMENSION (Truck Tyres)","RIMDIAMET.'/MM","WIDTH IN INCH","WIDTH IN MM","ASPECT RATIO","TUBE / TUBLESS","LOADINDEX","SPEEDINDEX","FirstActivity","SALES UNITS","SALES <LC>","PRICE TWD/UN."
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","M810","BRIDGESTONE","CENTRAL TAIWAN","TBR","225/90/17.5","17.5'","N.A.","225","90","TL","127","L (-120KM)","NOVEMBER 2016",128.20808560,871814.98208000,6800.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","M810","BRIDGESTONE","NORTH TAIWAN","TBR","225/90/17.5","17.5'","N.A.","225","90","TL","127","L (-120KM)","NOVEMBER 2016",102.44229600,665874.92400000,6500.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","M810","BRIDGESTONE","SOUTH TAIWAN","TBR","225/90/17.5","17.5'","N.A.","225","90","TL","127","L (-120KM)","NOVEMBER 2016",117.34941953,835415.34068088,7119.04110013
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","MA268","MAXXIS","CENTRAL TAIWAN","TBR","295/80/22.5","22.5""","N.A.","295","80","TL","UNKNOWN","J (-100KM)","OCTOBER 2016",86.01630000,1012515.60000007,11771.20615511
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","MA268","MAXXIS","SOUTH TAIWAN","TBR","295/80/22.5","22.5""","N.A.","295","80","TL","UNKNOWN","J (-100KM)","OCTOBER 2016",176.00000000,1936000.00000000,11000.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","MA268","MAXXIS","TAIPEI CITY","TBR","295/80/22.5","22.5""","N.A.","295","80","TL","UNKNOWN","J (-100KM)","OCTOBER 2016",276.00000000,3036000.00000000,11000.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","MA268","MAXXIS","CENTRAL TAIWAN","TBR","315/80/22.5","22.5""","N.A.","315","80","TL","156","J (-100KM)","NOVEMBER 2016",12.80000000,211200.00000000,16500.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","MA268","MAXXIS","SOUTH TAIWAN","TBR","315/80/22.5","22.5""","N.A.","315","80","TL","156","J (-100KM)","NOVEMBER 2016",110.00000000,1210000.00000000,11000.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","MA268","MAXXIS","SOUTH TAIWAN","TBR","12.00/22.5","22.5""","12","N.A.","N.A.","TL","UNKNOWN","UNKNOWN","DECEMBER 2016",308.00000000,3234000.00000000,10500.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","MD816","MAXXIS","SOUTH TAIWAN","TBR","295/80/22.5","22.5""","N.A.","295","80","TL","152","J (-100KM)","OCTOBER 2016",198.00000000,2376000.00000000,12000.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","MD816","MAXXIS","NORTH TAIWAN","TBR","315/80/22.5","22.5""","N.A.","315","80","TL","UNKNOWN","J (-100KM)","NOVEMBER 2016",55.00000000,687500.00000000,12500.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","MD816","MAXXIS","SOUTH TAIWAN","TBR","315/80/22.5","22.5""","N.A.","315","80","TL","UNKNOWN","J (-100KM)","NOVEMBER 2016",96.54541858,1013726.89511977,10500.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","MY248","YOKOHAMA","TAIPEI CITY","TBR","275/70/22.5","22.5""","N.A.","275","70","TL","146","J (-100KM)","NOVEMBER 2016",1.80000000,24300.00000000,13500.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","NR-066","NANKANG","CENTRAL TAIWAN","EXCLUDED TBR AND LSR2","7.00/15","15'","7","N.A.","N.A.","TT","114","L (-120KM)","OCTOBER 2018",88.00000000,334400.00000003,3800.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","NR-066","NANKANG","NORTH TAIWAN","EXCLUDED TBR AND LSR2","7.00/15","15'","7","N.A.","N.A.","TT","114","L (-120KM)","OCTOBER 2018",153.60000000,541440.00000000,3525.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","NR-066","NANKANG","CENTRAL TAIWAN","EXCLUDED TBR AND LSR2","7.00/16","16'","7","N.A.","N.A.","TT","117","L (-120KM)","OCTOBER 2018",30.83333333,123333.33333334,4000.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","PL199","PRESA","NORTH TAIWAN","EXCLUDED TBR AND LSR2","7.00/16","16'","7","UNKNOWN","11","TL","116","N (-140KM)","MARCH 2017",67.20000000,268800.00000000,4000.00000000
"TRUCK TIRES","TAIWAN","PANELMARKET","JUN20","PL909","PRESA","CENTRAL TAIWAN","TBR","315/80/22.5","22.5""","N.A.","315","80","TL","148","K (-110KM)","FEBRUARY 2017",208.28928041,2499471.36487397,12000.00000000
